package,N
moocore,5820
bigmemory,5814
RMariaDB,5813
spacesXYZ,5807
cobalt,5799
rnaturalearthdata,5799
base64url,5799
Rttf2pt1,5795
ggfortify,5791
semTools,5772
mlogit,5769
leafsync,5766
broom.helpers,5758
mockr,5744
ggspatial,5713
lhs,5688
swagger,5687
jtools,5676
fBasics,5675
gstat,5669
spatstat.model,5652
keyring,5644
extrafontdb,5640
satellite,5631
leafpop,5619
glasso,5617
contfrac,5598
pbdZMQ,5594
Rcmdr,5593
diptest,5580
katex,5568
mets,5568
tiff,5549
rpf,5545
NMF,5520
nonnest2,5514
adegenet,5485
contentanalysis,5448
learnr,5446
msm,5440
bayesm,5428
spatstat.linnet,5409
pbmcapply,5401
gifski,5388
venn,5387
SuppDists,5349
fresh,5333
archdata,5328
imputeTS,5324
questionr,5318
sjstats,5317
rvg,5284
ggmap,5247
RJDBC,5241
sn,5216
ggdendro,5212
RcmdrMisc,5197
relimp,5195
osqp,5181
forestplot,5171
gss,5165
arg,5138
readstata13,5128
getPass,5123
jsonvalidate,5121
mlr3tuning,5095
tidyterra,5085
tweedie,5071
gganimate,5069
sftime,5059
decor,5054
metabook,5051
rncl,5036
mailR,5032
openxlsx2,5024
ff,5011
tictoc,5007
micsr,4997
compositions,4995
trust,4985
signal,4980
DiagrammeRsvg,4973
highs,4958
bsicons,4947
gee,4938
fpc,4912
intervals,4911
CVXR,4908
gamlss.dist,4901
texreg,4871
quanteda,4869
logistf,4820
mixtools,4805
mlr3pipelines,4779
phylolm,4769
inum,4764
tensorflow,4744
networkD3,4724
ISOcodes,4704
transformr,4703
spacetime,4703
gmm,4684
BiasedUrn,4674
paws.common,4668
binom,4650
latex2exp,4640
bibtex,4622
evd,4614
shinyBS,4603
tsibble,4597
dfidx,4593
aod,4589
epiR,4585
pagedown,4537
earth,4531
muhaz,4511
openalexR,4511
bigmemory.sri,4493
ppcor,4493
prabclus,4492
hwriter,4483
riskRegression,4476
splines2,4470
pool,4463
DiceKriging,4461
timetk,4461
margins,4458
investr,4455
ggpmisc,4442
gamlss,4433
bigrquery,4427
rockchalk,4422
fasttime,4421
sets,4413
rosm,4409
tidyquant,4409
carrier,4406
plotmo,4385
audio,4373
summarytools,4351
alabama,4327
polycor,4311
systemfit,4303
RcppNumerical,4296
shinydashboardPlus,4277
spacefillr,4271
smotefamily,4245
timereg,4244
did,4239
secretbase,4235
beepr,4220
actuar,4213
qvcalc,4210
shinyAce,4207
logging,4189
EnvStats,4169
pubmedR,4167
irr,4165
ellmer,4164
diffviewer,4143
tfruns,4115
fst,4111
copula,4096
stopwords,4090
dagitty,4089
lm.beta,4083
targets,4075
clarabel,4068
splancs,4064
stinepack,4063
ADGofTest,4058
wordcloud2,4052
coxme,4051
drc,4048
ggVennDiagram,4041
randtoolbox,4039
listviewer,4034
fstcore,4009
expint,3983
FlexParamCurve,3983
doSNOW,3975
misc3d,3969
rngWELL,3964
geodata,3958
Rglpk,3947
MLmetrics,3941
emdbook,3931
mstate,3922
kSamples,3920
estimatr,3905
klaR,3905
gamlss.data,3899
archive,3876
ggpattern,3875
PMCMRplus,3871
fmsb,3869
LearnBayes,3867
fastglm,3867
lfe,3866
qqconf,3859
pkgcache,3850
Cubist,3840
partitions,3835
WriteXLS,3833
tfautograph,3833
BBmisc,3825
lars,3808
exactextractr,3798
rstpm2,3796
interactions,3791
energy,3790
gridpattern,3782
tsfeatures,3776
gridSVG,3775
rotl,3762
Publish,3755
tcltk2,3754
rscopus,3744
spatialreg,3738
matrixcalc,3734
hierfstat,3732
foghorn,3722
AzureStor,3711
cvAUC,3684
gamm4,3683
tigris,3680
RcppThread,3673
padr,3671
flexsurv,3665
VIM,3654
ISLR,3653
ggExtra,3651
kutils,3648
bibliometrixData,3643
mixsqp,3633
keras,3621
cleanrmd,3609
effsize,3606
enrichR,3600
fds,3600
log4r,3596
pegas,3592
whoami,3582
debugme,3581
devEMF,3573
ash,3567
Kendall,3564
prediction,3551
mlmRev,3540
av,3539
eulerr,3534
lsoda,3530
DRDID,3514
hdrcde,3511
merDeriv,3499
pec,3470
fabletools,3458
brglm2,3448
DistributionUtils,3416
dfoptim,3408
umap,3408
fda,3407
lisrelToR,3394
filehash,3383
speedglm,3377
docopt,3349
pspline,3345
ars,3343
golem,3338
shinyFiles,3328
plot3D,3327
BWStest,3321
nor1mix,3310
dimensionsR,3301
aplpack,3299
psychTools,3272
shinybusy,3257
littler,3244
base64,3242
paws.storage,3241
ggnetwork,3237
memisc,3231
dynlm,3220
scoringRules,3216
topicmodels,3211
subplex,3210
enrichwith,3197
heatmaply,3193
laeken,3181
HSAUR3,3165
beanplot,3164
ivreg,3164
invgamma,3161
rcompanion,3157
WeightIt,3150
rainbow,3148
poLCA,3142
scs,3142
alr4,3135
ROSE,3126
missForest,3123
mda,3114
acepack,3112
wooldridge,3102
shinyalert,3098
mirt,3090
BMisc,3087
brglm,3078
nabor,3060
torch,3044
weights,3041
huxtable,3028
TeachingDemos,3027
np,3016
arules,3013
watcher,3013
pyinit,3005
ggvenn,3000
gaston,2998
fit.models,2992
thematic,2992
treemapify,2980
scrime,2978
RobStatTM,2974
Epi,2963
Amelia,2958
profileModel,2955
ashr,2951
alluvial,2946
phyr,2944
unmarked,2942
mutoss,2937
metap,2932
themis,2922
WRS2,2920
float,2918
spatialEco,2918
googleCloudStorageR,2917
TSA,2917
wesanderson,2916
xslt,2914
hash,2913
crs,2898
SuperLearner,2892
readODS,2885
logspline,2880
rapportools,2878
tree,2878
AICcmodavg,2869
som,2865
tikzDevice,2865
robust,2853
SimDesign,2853
R.matlab,2850
pkgsearch,2842
ResourceSelection,2840
MEMSS,2833
LaplacesDemon,2827
ggformula,2825
nanotime,2825
qrng,2825
reactlog,2823
R.devices,2817
safetensors,2805
spd,2804
tmvnsim,2800
BSDA,2794
rgenoud,2785
kinship2,2775
outliers,2764
etrunct,2752
mosaic,2748
pamr,2747
grf,2747
prophet,2740
sm,2739
RefManageR,2715
bspm,2710
MplusAutomation,2702
calibrate,2699
numbers,2696
Boruta,2696
semEff,2692
splus2R,2689
mvnfast,2685
JuliaCall,2684
cplm,2673
rARPACK,2672
poppr,2668
blme,2665
pals,2662
faraway,2662
mclogit,2656
rr2,2641
tmvtnorm,2636
DBItest,2622
tinyplot,2620
vioplot,2610
gnm,2600
MCMCglmm,2594
ggside,2590
rmutil,2589
shinydisconnect,2588
Signac,2584
attempt,2582
ggbreak,2582
NbClust,2573
bigassertr,2572
MBESS,2571
Matching,2568
gggenes,2561
fGarch,2560
hrbrthemes,2553
ggimage,2550
fmesher,2548
confintr,2546
ergm,2544
modeest,2530
rsm,2529
RcppCCTZ,2529
argparser,2528
ParallelLogger,2526
BradleyTerry2,2523
proxyC,2521
entropy,2520
sampling,2518
pandoc,2509
minty,2505
formatters,2504
fftwtools,2500
miceadds,2498
ggstatsplot,2492
ggm,2489
flexdashboard,2482
RcppGSL,2480
dtw,2478
arrayhelpers,2478
mosaicCore,2474
ez,2462
conquer,2462
ggdag,2458
etm,2457
rtables,2442
Lmoments,2439
netmeta,2438
GPfit,2423
opdisDownsampling,2418
mapdata,2407
bizdays,2406
dcurver,2406
table1,2405
GenSA,2402
qcc,2400
spls,2395
kknn,2393
arsenal,2390
svUnit,2389
GA,2376
rle,2374
Rcsdp,2374
timeROC,2370
missMDA,2368
treemap,2367
dismo,2365
marquee,2363
osmdata,2359
feasts,2355
cvar,2348
mfx,2339
fable,2334
lsmeans,2333
doconv,2332
vcfR,2326
RcppDate,2324
ROI,2317
plotlyGeoAssets,2311
pdp,2311
patrick,2310
lmodel2,2309
GLMMadaptive,2301
gbutils,2299
lcmm,2299
blastula,2298
officedown,2296
tidycensus,2295
ncbit,2289
princurve,2287
ggtime,2282
RLRsim,2279
flock,2278
poorman,2277
tis,2270
adespatial,2269
srvyr,2262
rgbif,2262
changepoint,2254
superpc,2254
qqplotr,2249
adephylo,2249
geiger,2245
splitstackshape,2240
igraphdata,2230
stable,2229
BB,2218
cobs,2217
fru,2209
neuralnet,2208
lightgbm,2207
highcharter,2204
box,2204
directlabels,2201
seasonal,2199
intergraph,2198
shinyjqui,2196
mlr,2184
kernelshap,2180
report,2175
bigparallelr,2171
fuzzyjoin,2171
aricode,2169
x13binary,2168
statip,2164
parallelMap,2161
fpp2,2160
butcher,2158
multitaper,2157
sendmailR,2153
statsExpressions,2152
ComplexUpset,2151
randomForestSRC,2150
TFisher,2147
ggsurvfit,2144
marqLevAlg,2143
locatexec,2141
XLConnect,2140
vip,2138
Ecdat,2135
titanic,2132
gsDesign,2131
olsrr,2131
swirl,2116
ParamHelpers,2111
ECOSolveR,2109
R2WinBUGS,2109
amap,2107
circular,2106
descr,2101
zCompositions,2096
animation,2086
qreport,2077
twosamples,2077
ncvreg,2075
Rserve,2060
r2rtf,2059
rhandsontable,2056
limSolve,2055
MVN,2047
picante,2044
smacof,2043
ISOweek,2036
blavaan,2035
truncreg,2030
brand.yml,2005
ineq,2003
leaflet.extras,2003
qdapRegex,2003
clisymbols,2000
qqman,1999
R2jags,1999
h2o,1998
oai,1996
lemon,1992
ggprism,1990
Ckmeans.1d.dp,1989
gtExtras,1981
WDI,1972
airports,1970
phylobase,1958
arulesViz,1956
scico,1956
joineRML,1949
rmapshaper,1947
rticles,1943
C50,1943
waveslim,1941
glmnetUtils,1940
MALDIquant,1939
keras3,1936
glassoFast,1932
TruncatedNormal,1924
forestploter,1920
bootstrap,1918
dlm,1915
mmrm,1912
NADA,1908
parsedate,1906
imager,1901
flexclust,1897
ISLR2,1895
btergm,1894
fma,1894
dbarts,1891
tidygeocoder,1889
rdrobust,1880
grImport2,1878
epitools,1877
lamW,1877
poweRlaw,1875
markovchain,1873
tidycmprsk,1872
ggvis,1872
HH,1869
KFAS,1868
visreg,1865
grpreg,1860
Rfast2,1856
mschart,1856
Bessel,1856
mosaicData,1855
gprofiler2,1852
AUC,1848
pcalg,1840
tidySEM,1839
DALEX,1835
distro,1829
leidenAlg,1829
huge,1828
expsmooth,1824
tidybayes,1820
rredlist,1820
RNeXML,1817
openintro,1815
modeltests,1806
xplorerr,1805
robmixglm,1805
Polychrome,1796
snowfall,1792
logcondens,1785
runjags,1781
taxize,1777
sfnetworks,1773
duckspatial,1767
iml,1765
SIS,1762
DataExplorer,1762
expss,1761
argparse,1761
sampleSelection,1757
Rnanoflann,1752
randomizr,1751
geomtextpath,1750
shapviz,1749
vcdExtra,1747
maditr,1746
binGroup,1742
orthopolynom,1742
tableHTML,1738
arrangements,1736
bmp,1733
bsts,1730
clustree,1727
getopt,1726
NNS,1725
slippymath,1724
chemometrics,1723
ggokabeito,1716
MLEcens,1715
giscoR,1715
httpgd,1712
equatags,1710
pastecs,1707
geoarrow,1699
ggwordcloud,1697
tuneR,1697
optmatch,1697
sortable,1694
tufte,1693
robustlmm,1691
Rmisc,1689
manipulate,1682
ingredients,1680
msaenet,1676
nFactors,1674
altdoc,1674
worrms,1674
VineCopula,1673
jqr,1667
httptest2,1667
mvnormtest,1665
dotty,1665
gsignal,1661
bigstatsr,1661
googlePolylines,1657
sccore,1651
gratia,1649
merTools,1649
quanteda.textstats,1648
astsa,1647
iBreakDown,1641
lbfgsb3c,1637
tidyLPA,1637
bs4Dash,1635
ggseqlogo,1632
akima,1631
dotwhisker,1629
RNetCDF,1626
jmvcore,1625
dslabs,1624
gcdnet,1622
nestedLogit,1621
syuzhet,1619
shinymanager,1617
antiword,1616
echarts4r,1616
smd,1612
textshape,1609
elevatr,1607
wavethresh,1606
iNEXT,1600
concaveman,1596
geoR,1595
cocor,1594
Microsoft365R,1591
icenReg,1589
protolite,1589
fANCOVA,1588
lmomco,1587
lsa,1587
future.callr,1582
jinjar,1581
mondate,1580
findpython,1578
dotenv,1575
metR,1572
rlemon,1571
bigutilsr,1571
bezier,1566
RcppHungarian,1566
unigd,1558
pkgdepends,1557
ClusterR,1554
readbitmap,1551
wikitaxa,1548
text2vec,1545
solrium,1545
rmeta,1545
lda,1543
FD,1539
mgsub,1535
colorRamps,1534
rmio,1532
NeuralNetTools,1528
rasterVis,1527
eurostat,1527
coloc,1526
rworldmap,1521
philentropy,1515
ritis,1513
plogr,1510
lsr,1506
asciicast,1502
stabs,1495
sommer,1491
DDRTree,1490
googleVis,1483
CircStats,1482
locfdr,1480
pinfsc50,1480
easystats,1479
Rmpi,1477
adehabitatMA,1475
WikipediR,1475
infotheo,1472
adegraphics,1469
rcdd,1468
MatrixExtra,1468
adbcdrivermanager,1468
robvis,1465
DRR,1458
stm,1456
ggstance,1451
geobr,1451
FactoInvestigate,1442
smoof,1442
randomcoloR,1441
slackr,1440
mcptools,1436
LiblineaR,1436
biomod2,1434
mlrMBO,1428
susieR,1427
natserv,1416
adlift,1410
apaTables,1410
logitr,1409
PASWR,1409
EbayesThresh,1409
trend,1409
vcr,1408
rattle,1406
pins,1406
pvclust,1405
roll,1404
shinyvalidate,1404
Factoshiny,1403
clustMixType,1401
mc2d,1400
AppliedPredictiveModeling,1399
dtt,1394
gfonts,1393
english,1392
DoE.base,1386
pammtools,1386
mlapi,1381
mboost,1381
rtdists,1381
safer,1381
ISwR,1379
binhf,1378
RWeka,1376
TFMPvalue,1375
RNifti,1374
imputeTestbench,1373
LambertW,1371
origami,1369
Boom,1368
billboarder,1367
CFtime,1366
transport,1365
rsparse,1364
ltm,1361
uroot,1358
polysat,1358
usdata,1357
rempsyc,1356
IDPmisc,1356
leiden,1355
parallelDist,1349
automap,1348
botor,1346
relaimpo,1344
caesar,1343
kohonen,1340
lqmm,1337
caper,1334
RApiSerialize,1334
predicts,1333
dataRetrieval,1330
storr,1330
batchtools,1328
textclean,1326
maxnet,1321
nimble,1319
seminr,1316
svGUI,1316
ICS,1310
RcppSimdJson,1308
FinTS,1308
tkrplot,1308
CDM,1305
dendsort,1305
mlr3mbo,1303
bestNormalize,1301
gemtc,1296
tsModel,1296
adehabitatLT,1295
Gmisc,1291
emoa,1289
preferably,1287
sdmTMB,1285
tarchetypes,1285
yaImpute,1284
TAM,1283
ecodist,1280
proj4,1279
ggupset,1279
forecTheta,1273
openair,1273
DirichletReg,1271
grImport,1270
QCA,1269
dcurves,1268
ftExtra,1267
geojsonio,1267
BoomSpikeSlab,1267
betapart,1266
svDialogs,1266
heplots,1266
ieugwasr,1264
MSwM,1260
EValue,1259
ebal,1258
bipartite,1252
bootnet,1251
frontmatter,1246
truncdist,1246
randtests,1244
modules,1241
toastui,1240
HonestDiD,1239
DatabaseConnector,1239
regions,1237
BayesTree,1236
phosphoricons,1233
adehabitatHR,1230
mlflow,1230
gmnl,1229
admiraldev,1227
usdm,1225
DIDmultiplegtDYN,1225
CBPS,1223
robumeta,1222
tester,1220
mlr3cluster,1218
mlt,1217
hexView,1217
btw,1216
gdistance,1216
seewave,1212
